Name,Longitude,Latitude
Огнево,55.7758333,69.3163889
Песчаное,55.8244904,69.317202
Песчаное,55.8275,69.315
Пешнево,55.5522155,69.4165004
Пешнево,55.555,69.4161111
Смирное,55.8143637,68.9803955
Смирное,55.8155556,68.9802778
Челюскинцев,55.7624842,69.6296996
Чирки,55.7524808,68.9834552
Чирки,55.7519444,68.9861111
Березовка,57.669381,65.796187
Березовка,57.6741667,65.7891667
Большая Заморозовка,57.6952778,65.4963889
Бухтал,57.506705,65.156362
Веселая Грива,57.608954,65.220361
Веселая Грива,57.6088889,65.2255556
Канаш,57.5952778,65.6408333
Киндер,57.635980,66.387369
Ключи,57.4047222,66.1544444
Конченбург,57.4733333,66.3083333
Красный Яр,57.4669344,65.9676847
Красный Яр,57.4666667,65.9675
Кунчур,57.2727778,66.1913889
Кускургуль,58.0849752,66.5457742
Мияссы,57.8679394,65.917815
Мияссы,57.868016,65.925176
Мияссы,57.8677778,65.9177778
Новопокровка,57.4716667,65.3752778
Средние Тарманы,57.3666667,65.355
Торгили,57.2818936,66.0429002
Журавлевское,56.2694444,67.6875
Ситниково,56.3622297,67.8436768
Ситниково,56.3636111,67.8366667
Южно-Плетнево,56.4085449,67.4886031
Южно-Плетнево,56.4108333,67.4883333
Южно-Плетнево,56.4116667,67.4925
Лопазное,55.479397,70.423113
Майка,55.60803,70.495627
Новоандреевка,55.856034,70.44912
Новоандреевка,55.851292,70.442316
Новоандреевка,55.8525,70.4408333
Новоказанка,55.2922222,70.4180556
Рождественка,55.7027778,69.9913889
Степное,55.605376,70.192114
Степное,55.605027,70.193649
Степное,55.6030556,70.1975
Знаменщиково,56.5703628,70.2909253
Знаменщиково,56.5702778,70.2908333
Знаменщиково,56.5702778,70.2908333
Нижнепинигино,56.5063889,69.9866667
Абалак,58.1279376,68.5919957
Ачиры,58.7922979,67.3094086
Ачиры,58.7916667,67.3125
Байкалово,57.7783333,67.6547222
Вармахли,58.2486376,67.4429744
Елань,57.9730556,67.7369444
Иземеть,58.6489824,67.6133115
Иземеть,58.6488889,67.6130556
Ингаир,58.6066667,68.7666667
Ишменева,58.6088889,67.4213889
Ишменево,58.6091583,67.4214216
Карачино,58.0141441,68.1473679
Кутарбитка,57.8361111,67.9775
Лайтамак,58.4099072,67.4589263
Лайтамак,58.4086111,67.4591667
Лайтамак,58.4091667,67.4602778
Надцы,58.6258446,68.5743236
Надцы,58.6272222,68.5722222
Овсянниково,58.2909139,68.0749611
Овсянниково,58.290983,68.074898
Полуянова,58.0405556,68.8125
Полуяново,58.0400409,68.8153281
Ростошь,58.3491667,68.6613889
Сетово,58.02,67.8016667
Сетово,58.02,67.8016667
Тахтагул,57.6851203,68.4259578
Тахтагул,57.685,68.4258333
Топкинская,58.376329,67.3378956
Ушарова,58.5039039,68.2989196
Ушарова,58.5038889,68.2986111
Чебурга,57.7265339,68.2116974
Чебурга,57.7263889,68.2116667
Большие Акияры,56.9530556,65.3791667
Борки,57.170722,66.07082
Зырянка,57.136978,65.0291338
Зырянка,57.1344444,65.0272222
Муллаши,57.0017166,66.0771555
Успенка,57.0754946,65.0489609
Янтык,57.3180514,65.8674289
Янтык,57.3152778,65.8688889
Алымка,59.0252298,68.8039648
Алымка,59.025,68.8038889
Алымка,59.025,68.8038889
Красный Яр,58.8655579,68.5860737
Красный Яр,58.865,68.5844444
Красный Яр,58.8652778,68.5861111
Муген,59.805524,70.7915007
Осинник,59.2704631,68.8363207
Осинник,59.2705556,68.8361111
Осинник,59.2705556,68.8361111
Першино,59.3494299,68.9208526
Першино,59.3511111,68.9205556
Тугалово,59.7450167,69.7555096
Тугалово,59.745,69.7552778
Тугалово,59.745,69.7552778
Бызово,56.3002872,66.1912217
Бызово,56.302738,66.194218
Ингалинское,56.4233333,65.9433333
Ингальское,56.4222942,65.944767
Коркино,56.0783333,65.9305556
Крашенинино,56.2375,66.7980556
Липиха,56.3627778,65.7472222
Масали,56.0707489,66.5679079
Масали,56.0766667,66.5644444
Масали,56.0752778,66.5625
Нижнеманай,56.0486111,66.7719444
Пятково,56.15149,66.7694249
Скородум,56.251922,66.157642
Суерка,56.253527,66.038974
Агарак,56.9706287,67.9422571
Агарак,56.9702778,67.9416667
Агарак,56.9702778,67.9416667
Володино,56.7398506,67.5049302
Володино,56.7397222,67.5047222
Володино,56.7397222,67.5047222
Лабино,56.8779987,67.7936467
Новый Тап,57.04364,67.7196912
Новый Тап,57.0441667,67.7552778
Северо-Плетнево,56.8661484,68.0647351
Северо-Плетнево,56.8658333,68.0638889
Шипаково,56.8507464,67.6382051
Бердюгино,56.8144444,66.4030556
Большое Тихвино,57.0352778,66.7252778
Зиново,56.6411111,66.13
Ивановка,57.0632155,66.7723199
Ивановка,57.0655556,66.78
Ивановка,57.0691667,66.7797222
Карабаш,56.7986111,66.1011111
Карабаш,56.7977778,66.1011111
Коктюль,56.7487165,66.5552352
Коктюль,56.7488889,66.5547222
Коктюль,56.7472222,66.5588889
Кулики,56.925,66.6480556
Малая Тихвина,56.9963889,66.7208333
Старый Кавдык,56.768939,66.2285795
Старый Кавдык,56.7675,66.2269444
Южное,56.640996,65.987537
Южное,56.6419444,65.9902778
Бачелино,57.7758333,67.2702778
Варвара,57.444782,67.2372314
Варвара,57.4447222,67.2372222
Красный Яр,57.467196,65.968567
Маранка,57.3213889,67.1655556
Новоалександровка,57.4861111,67.8105556
Новокаишкуль,57.49,67.9019444
Покровское,57.2432049,66.7883224
Сеиты,57.9386825,67.227837
Сеиты,57.9383333,67.2277778
Сорокино,57.8312579,67.4724599
Сорокино,57.8308333,67.4761111
Сорокино,57.8319444,67.4755556
Старый Каишкуль,57.5621809,67.994833
Шатанова,57.7141667,67.2938889
Щетково,57.459253,67.0818447
Щетково,57.4566667,67.0819444
Щетково,57.455,67.0791667
